Title,description,price,Capacity,Grape,closure,country,Characteristics,type,ABV,region,style,vintage
Terra Espaniola,"Terra Espaniola (Gruner Veltliner) is a refined white wine from Spain, specifically the Castilla Y León region. Produced from the 2017 vintage, it offers flavors of tobacco, pepper, tobacco and is best described as Soft & Fruity. Alcohol content: 12.0%.",$55.00,0.75,Gruner Veltliner,Natural Cork,Spain,"tobacco, pepper, tobacco",White,12.0%,Castilla Y León,Soft & Fruity,2017
Terra Espaniola,"Terra Espaniola (Mourvèdre) is a refined red wine from Spain, specifically the Castilla Y León region. Produced from the 2005 vintage, it offers flavors of minerals, leather, grape and is best described as Rich & Toasty. Alcohol content: 14.0%.",$25.00,0.75,Mourvèdre,Natural Cork,Spain,"minerals, leather, grape",Red,14.0%,Castilla Y León,Rich & Toasty,2005
Terra Italianica Rosso Amabile,"Terra Italianica Rosso Amabile (Carmenere) is a refined red wine from Italy, specifically the Basilicata region. Produced from the 2005 vintage, it offers flavors of lemon zest, berries, honey and is best described as Light & Refreshing. Alcohol content: 13.5%.",$33.52,0.75,Carmenere,Natural Cork,Italy,"lemon zest, berries, honey",Red,13.5%,Basilicata,Light & Refreshing,2005
Terra Italianica Bianco,"Terra Italianica Bianco (Gewürztraminer) is a refined white wine from Italy, specifically the Abruzzo region. Produced from the 2012 vintage, it offers flavors of almond, coffee, vanilla and is best described as Smooth & Light. Alcohol content: 11.0%.",$40.00,0.75,Gewürztraminer,Natural Cork,Italy,"almond, coffee, vanilla",White,11.0%,Abruzzo,Smooth & Light,2012
Terra Italianica Bianco Amabile,"Terra Italianica Bianco Amabile (Gruner Veltliner) is a refined white wine from Italy, specifically the Piedmont region. Produced from the 2020 vintage, it offers flavors of nuts, chocolate, leather and is best described as Smooth & Light. Alcohol content: 12.5%.",$45.47,0.75,Gruner Veltliner,Natural Cork,Italy,"nuts, chocolate, leather",White,12.5%,Piedmont,Smooth & Light,2020
Don Simon White Semisweet,"Don Simon White Semisweet (Semillon) is a refined white wine from Hungary, specifically the a region. Produced from the 2005 vintage, it offers flavors of grape, chocolate, vanilla and is best described as Smooth & Mellow. Alcohol content: 11.5%.",$5.00,0.75,Semillon,Natural Cork,Hungary,"grape, chocolate, vanilla",White,11.5%,a,Smooth & Mellow,2005
Don Simon Red Semisweet,"Don Simon Red Semisweet (Touriga Nacional) is a refined red wine from Australia, specifically the Tasmania region. Produced from the 2015 vintage, it offers flavors of chocolate, nuts, raspberry and is best described as Smooth & Mellow. Alcohol content: 12.5%.",$17.00,0.75,Touriga Nacional,Natural Cork,Australia,"chocolate, nuts, raspberry",Red,12.5%,Tasmania,Smooth & Mellow,2015
Don Simon Red dry,"Don Simon Red dry (Port) is a refined red wine from Georgia, specifically the K region. Produced from the 2011 vintage, it offers flavors of tropical fruit, tropical fruit, coconut and is best described as Crisp & Fruity. Alcohol content: 11.5%.",$48.70,0.75,Port,Natural Cork,Georgia,"tropical fruit, tropical fruit, coconut",Red,11.5%,K,Crisp & Fruity,2011
Don Simon White Dry,"Don Simon White Dry (Viognier) is a refined white wine from Hungary, specifically the a region. Produced from the 2012 vintage, it offers flavors of almond, hazelnut, raspberry and is best described as Ripe & Rounded. Alcohol content: 12.5%.",$59.00,0.75,Viognier,Natural Cork,Hungary,"almond, hazelnut, raspberry",White,12.5%,a,Ripe & Rounded,2012
Don Simon Sangria,"Don Simon Sangria (Tannat) is a refined red wine from Georgia, specifically the l region. Produced from the 2024 vintage, it offers flavors of blackberry, red berries, cinnamon and is best described as Crisp & Zesty. Alcohol content: 14.5%.",$47.00,1,Tannat,Natural Cork,Georgia,"blackberry, red berries, cinnamon",Red,14.5%,l,Crisp & Zesty,2024
Apulo Salento Fiano-Moscato Bianco,"Apulo Salento Fiano-Moscato Bianco (Fiano) is a refined white wine from Italy, specifically the Basilicata region. Produced from the 2021 vintage, it offers flavors of mint, cherry, lemon zest and is best described as Light & Refreshing. Alcohol content: 13.5%.",$19.00,0.75,Fiano,Natural Cork,Italy,"mint, cherry, lemon zest",White,13.5%,Basilicata,Light & Refreshing,2021
Richebaron Moelleux Blanc,"Richebaron Moelleux Blanc (Pinot Grigio) is a refined white wine from USA, specifically the California region. Produced from the 2018 vintage, it offers flavors of perfume, tobacco, honey and is best described as Soft & Fruity. Alcohol content: 11.5%.",$48.00,0.75,Pinot Grigio,Natural Cork,USA,"perfume, tobacco, honey",White,11.5%,California,Soft & Fruity,2018
Richebaron blanc,"Richebaron blanc (Riesling) is a refined white wine from France, specifically the Beaujolais region. Produced from the 2012 vintage, it offers flavors of pineapple, mushrooms, vanilla and is best described as Light & Refreshing. Alcohol content: 12.0%.",$43.00,0.75,Riesling,Natural Cork,France,"pineapple, mushrooms, vanilla",White,12.0%,Beaujolais,Light & Refreshing,2012
